# Lorenzo Manunza 14th April 2025

39688 atoms
1 atom types

-148.80048 148.80048 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

  606 1   73.170486 -81.65 0.00
  607 1   73.170486 -80.23 0.00
  608 1   74.400242 -79.52 0.00
  609 1   71.940730 -82.36 0.00
  610 1   70.710974 -81.65 0.00
  611 1   70.710974 -80.23 0.00
  612 1   71.940730 -79.52 0.00
  613 1   69.481218 -82.36 0.00
  614 1   68.251462 -81.65 0.00
  615 1   68.251462 -80.23 0.00
  616 1   69.481218 -79.52 0.00
  617 1   67.021706 -82.36 0.00
  618 1   65.791950 -81.65 0.00
  619 1   65.791950 -80.23 0.00
  620 1   67.021706 -79.52 0.00
  621 1   64.562194 -82.36 0.00
  622 1   63.332438 -81.65 0.00
  623 1   63.332438 -80.23 0.00
  624 1   64.562194 -79.52 0.00
  625 1   62.102682 -82.36 0.00
  626 1   60.872926 -81.65 0.00
  627 1   60.872926 -80.23 0.00
  628 1   62.102682 -79.52 0.00
  629 1   59.643170 -82.36 0.00
  630 1   58.413413 -81.65 0.00
  631 1   58.413413 -80.23 0.00
  632 1   59.643170 -79.52 0.00
  633 1   57.183657 -82.36 0.00
  634 1   55.953901 -81.65 0.00
  635 1   55.953901 -80.23 0.00
  636 1   57.183657 -79.52 0.00
  637 1   54.724145 -82.36 0.00
  638 1   53.494389 -81.65 0.00
  639 1   53.494389 -80.23 0.00
  640 1   54.724145 -79.52 0.00
  641 1   52.264633 -82.36 0.00
  642 1   51.034877 -81.65 0.00
  643 1   51.034877 -80.23 0.00
  644 1   52.264633 -79.52 0.00
  645 1   49.805121 -82.36 0.00
  646 1   48.575365 -81.65 0.00
  647 1   48.575365 -80.23 0.00
  648 1   49.805121 -79.52 0.00
  649 1   47.345609 -82.36 0.00
  650 1   46.115853 -81.65 0.00
  651 1   46.115853 -80.23 0.00
  652 1   47.345609 -79.52 0.00
  653 1   44.886097 -82.36 0.00
  654 1   43.656341 -81.65 0.00
  655 1   43.656341 -80.23 0.00
  656 1   44.886097 -79.52 0.00
  657 1   42.426585 -82.36 0.00
  658 1   41.196828 -81.65 0.00
  659 1   41.196828 -80.23 0.00
  660 1   42.426585 -79.52 0.00
  661 1   39.967072 -82.36 0.00
  662 1   38.737316 -81.65 0.00
  663 1   38.737316 -80.23 0.00
  664 1   39.967072 -79.52 0.00
  665 1   37.507560 -82.36 0.00
  666 1   36.277804 -81.65 0.00
  667 1   36.277804 -80.23 0.00
  668 1   37.507560 -79.52 0.00
  669 1   35.048048 -82.36 0.00
  670 1   33.818292 -81.65 0.00
  671 1   33.818292 -80.23 0.00
  672 1   35.048048 -79.52 0.00
  673 1   32.588536 -82.36 0.00
  674 1   31.358780 -81.65 0.00
  675 1   31.358780 -80.23 0.00
  676 1   32.588536 -79.52 0.00
  677 1   30.129024 -82.36 0.00
  678 1   28.899268 -81.65 0.00
  679 1   28.899268 -80.23 0.00
  680 1   30.129024 -79.52 0.00
  681 1   27.669512 -82.36 0.00
  682 1   26.439756 -81.65 0.00
  683 1   26.439756 -80.23 0.00
  684 1   27.669512 -79.52 0.00
  685 1   25.210000 -82.36 0.00
  686 1   23.980243 -81.65 0.00
  687 1   23.980243 -80.23 0.00
  688 1   25.210000 -79.52 0.00
  689 1   22.750487 -82.36 0.00
  690 1   21.520731 -81.65 0.00
