# Lorenzo Manunza 14th April 2025

157768 atoms
1 atom types

-591.51267 591.51267 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

   504 1  283.458775 -83.78 0.00
   505 1  280.999263 -86.62 0.00
   506 1  279.769507 -85.91 0.00
   507 1  279.769507 -84.49 0.00
   508 1  280.999263 -83.78 0.00
   509 1  278.539751 -86.62 0.00
   510 1  277.309995 -85.91 0.00
   511 1  277.309995 -84.49 0.00
   512 1  278.539751 -83.78 0.00
   513 1  276.080238 -86.62 0.00
   514 1  274.850482 -85.91 0.00
   515 1  274.850482 -84.49 0.00
   516 1  276.080238 -83.78 0.00
   517 1  273.620726 -86.62 0.00
   518 1  272.390970 -85.91 0.00
   519 1  272.390970 -84.49 0.00
   520 1  273.620726 -83.78 0.00
   521 1  271.161214 -86.62 0.00
   522 1  269.931458 -85.91 0.00
   523 1  269.931458 -84.49 0.00
   524 1  271.161214 -83.78 0.00
   525 1  268.701702 -86.62 0.00
   526 1  267.471946 -85.91 0.00
   527 1  267.471946 -84.49 0.00
   528 1  268.701702 -83.78 0.00
   529 1  266.242190 -86.62 0.00
   530 1  265.012434 -85.91 0.00
   531 1  265.012434 -84.49 0.00
   532 1  266.242190 -83.78 0.00
   533 1  263.782678 -86.62 0.00
   534 1  262.552922 -85.91 0.00
   535 1  262.552922 -84.49 0.00
   536 1  263.782678 -83.78 0.00
   537 1  261.323166 -86.62 0.00
   538 1  260.093410 -85.91 0.00
   539 1  260.093410 -84.49 0.00
   540 1  261.323166 -83.78 0.00
   541 1  258.863653 -86.62 0.00
   542 1  257.633897 -85.91 0.00
   543 1  257.633897 -84.49 0.00
   544 1  258.863653 -83.78 0.00
   545 1  256.404141 -86.62 0.00
   546 1  255.174385 -85.91 0.00
   547 1  255.174385 -84.49 0.00
   548 1  256.404141 -83.78 0.00
   549 1  253.944629 -86.62 0.00
   550 1  252.714873 -85.91 0.00
   551 1  252.714873 -84.49 0.00
   552 1  253.944629 -83.78 0.00
   553 1  251.485117 -86.62 0.00
   554 1  250.255361 -85.91 0.00
   555 1  250.255361 -84.49 0.00
   556 1  251.485117 -83.78 0.00
   557 1  249.025605 -86.62 0.00
   558 1  247.795849 -85.91 0.00
   559 1  247.795849 -84.49 0.00
   560 1  249.025605 -83.78 0.00
   561 1  246.566093 -86.62 0.00
   562 1  245.336337 -85.91 0.00
   563 1  245.336337 -84.49 0.00
   564 1  246.566093 -83.78 0.00
   565 1  244.106581 -86.62 0.00
   566 1  242.876824 -85.91 0.00
   567 1  242.876824 -84.49 0.00
   568 1  244.106581 -83.78 0.00
   569 1  241.647068 -86.62 0.00
   570 1  240.417312 -85.91 0.00
   571 1  240.417312 -84.49 0.00
   572 1  241.647068 -83.78 0.00
   573 1  239.187556 -86.62 0.00
   574 1  237.957800 -85.91 0.00
   575 1  237.957800 -84.49 0.00
   576 1  239.187556 -83.78 0.00
   577 1  236.728044 -86.62 0.00
   578 1  235.498288 -85.91 0.00
   579 1  235.498288 -84.49 0.00
   580 1  236.728044 -83.78 0.00
   581 1  234.268532 -86.62 0.00
   582 1  233.038776 -85.91 0.00
   583 1  233.038776 -84.49 0.00
   584 1  234.268532 -83.78 0.00
   585 1  231.809020 -86.62 0.00
   586 1  230.579264 -85.91 0.00
   587 1  230.579264 -84.49 0.00
   588 1  231.809020 -83.78 0.00
   589 1  229.349508 -86.62 0.00
   590 1  228.119752 -85.91 0.00
   591 1  228.119752 -84.49 0.00
   592 1  229.349508 -83.78 0.00
   593 1  226.889996 -86.62 0.00
   594 1  225.660239 -85.91 0.00
   595 1  225.660239 -84.49 0.00
   596 1  226.889996 -83.78 0.00
   597 1  224.430483 -86.62 0.00
   598 1  223.200727 -85.91 0.00
